Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 22:41:04+00:00,1554235796697260037,"@LulaOficial Pai da fome!!!!kkkkkk Hipócrita, lambanceiro, e mentiroso, demagogo, até quando vai querer viver da ignorância dos pobres?????",Lula," pai da fome!!!!kkkkkk hipócrita, lambanceiro, e mentiroso, demagogo, até quando vai querer viver da ignorância dos pobres?????"
2022-08-01 22:41:04+00:00,1554235795774504965,"É MELHOR JAIR VOTANDO NO CIRO...

Senão o Lula volta.",Lula,é melhor jair votando no ciro...senão o lula volta.
2022-08-01 22:41:02+00:00,1554235785251115008,"@foll0wthewater @_coldblood3d Perdão, mas o Lula pertence ao TIMÃO :)🖤🖤🖤",Lula,"  perdão, mas o lula pertence ao timão :)🖤🖤🖤"
2022-08-01 22:41:01+00:00,1554235783023837185,Vai nessa!!! O vice é o pai da merenda  @LulaOficial https://t.co/rbYWrC0Iw6,Lula,vai nessa!!! o vice é o pai da merenda   
2022-08-01 22:41:00+00:00,1554235778208776193,"@Pedro_Barciela @Anitta @LulaOficial @cajupensa Lula já vem anunciando que bandido não é mais bandido (advogando em causa própria) e agora vem essa anta fazendo campanha pra liberação das drogas.. bom plano de governo esse do 9 dedos.. bandidos na rua, legalização do aborto e drogas liberada.. é plano de governo do demônio",Lula,"    lula já vem anunciando que bandido não é mais bandido (advogando em causa própria) e agora vem essa anta fazendo campanha pra liberação das drogas.. bom plano de governo esse do 9 dedos.. bandidos na rua, legalização do aborto e drogas liberada.. é plano de governo do demônio"
2022-08-01 22:40:59+00:00,1554235774484324354,"meu pai e minha tia discutindo sobre bolsonaro e lula no grupo na família 

nem churrasco no domingo representa tanto a família brasileira",Lula,meu pai e minha tia discutindo sobre bolsonaro e lula no grupo na família nem churrasco no domingo representa tanto a família brasileira
2022-08-01 22:40:58+00:00,1554235770709458944,"@LulaOficial Quero ver vc sair a pé aqui na paulista, BANDIDO",Lula," quero ver vc sair a pé aqui na paulista, bandido"
2022-08-01 22:40:58+00:00,1554235770629758977,QUERO MANDAR MINHA CAMISETA NOVA DO LULA E RBD PARA A @gigi_grigio PELO MOR DE DEUS 😭 olha o adesivo que vem junto&gt;&gt;&gt;&gt;&gt;&gt; https://t.co/64A9aCIPIW,Lula,quero mandar minha camiseta nova do lula e rbd para a  pelo mor de deus 😭 olha o adesivo que vem junto&gt;&gt;&gt;&gt;&gt;&gt; 
2022-08-01 22:40:58+00:00,1554235768675131393,@LulaOficial @ricardostuckert Se tivesse 20 mil vocês colocariam filmagem de drone de 1 min pelo menos,Lula,  se tivesse 20 mil vocês colocariam filmagem de drone de 1 min pelo menos
2022-08-01 22:40:57+00:00,1554235767186153473,@LulaOficial Deveria ter pensado  nisso antes de roubar a nação  e dar o nosso dinheiro  pros comunistas em troca de charuto. Fica em paz Bolsonaro  não  deixou ninguem com fome até  agora e não  vai deixar nem com sede tbem como vc fez desviando o dinheiro da transposiçario do s. Fracisco,Lula, deveria ter pensado  nisso antes de roubar a nação  e dar o nosso dinheiro  pros comunistas em troca de charuto. fica em paz bolsonaro  não  deixou ninguem com fome até  agora e não  vai deixar nem com sede tbem como vc fez desviando o dinheiro da transposiçario do s. fracisco
